16:47:35.899404 1.0 Mb/s 2412 MHz 11b -39dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:35.988418 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.082191 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.189263 1.0 Mb/s 2412 MHz 11b -39dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.278265 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.393512 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.495036 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.586970 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.688775 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:36.791821 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.024761 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 3 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.108558 1.0 Mb/s 2412 MHz 11b -42dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.209999 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.301183 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.445734 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.529793 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.611457 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.712441 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.850593 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:37.935940 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.026209 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.152532 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.292337 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.338635 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.446422 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.568878 1.0 Mb/s 2412 MHz 11b -51dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.664705 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.745609 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:38.989165 1.0 Mb/s 2412 MHz 11b -39dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.046880 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.177450 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.256503 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.366093 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.485769 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.590009 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.685559 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.789379 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.881317 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:39.982261 1.0 Mb/s 2412 MHz 11b -39dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.109959 1.0 Mb/s 2412 MHz 11b -51dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.199320 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.290725 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.373631 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.480023 1.0 Mb/s 2412 MHz 11b -50dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.588520 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.695676 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.793513 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:40.899724 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.039968 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.097572 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.218765 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.311526 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.420725 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.601375 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.719502 1.0 Mb/s 2412 MHz 11b -40dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
16:47:41.842536 1.0 Mb/s 2412 MHz 11b -41dBm signal antenna 1 Beacon (RSS_TESTE3) [1.0* 2.0 5.5 11.0 6.0 9.0 12.0 18.0 Mbit] IBSS CH: 1, PRIVACY
